"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"7",")","Т-40 АМ",ЛОЖЬ
"C","=","Липецкий",ЛОЖЬ
"J","X","ТОО ""Мелиховское""",ЛОЖЬ
"N","W","ГАЗ-31023",ЛОЖЬ
"J","Y","Пролетарский МКП г.Ростова",ЛОЖЬ
"C",">","Костромской судомеханический",ЛОЖЬ
"J","Z","Администрация района",ЛОЖЬ
"I",".","Администрация района",ЛОЖЬ
"J","[","Гос.предприятие ""Квант-техника""",ЛОЖЬ
"J","\","Западно-Сибирское ОУМТиВС МВД РФ",ЛОЖЬ
"D",">","комби",ЛОЖЬ
"J","]","ПКФ ""УРАЛ-1""",ЛОЖЬ
"N","X","ВАЗ-21093",ЛОЖЬ
"Y",")","БТР-80",ЛОЖЬ
"C","?","Арзамаский машиностроительный з-д",ЛОЖЬ
"J","^","Таганрогская СТО",ЛОЖЬ
"J","_","УВД г.Новочеркасска",ЛОЖЬ
"J","`","УЧ 398/10",ЛОЖЬ
"N","Y","ИЖ-2125",ЛОЖЬ
"H","[","Служба тыла",ЛОЖЬ
"H","\","Станция диагностики",ЛОЖЬ
"H","]","Служба БД",ЛОЖЬ
"E","T","Трактор",ЛОЖЬ
"J","a","Морозовский райбыткомбинат",ЛОЖЬ
"J","b","АО ""Сальск-Лада""",ЛОЖЬ
"J","c","АО ""Ростов-Лада""",ЛОЖЬ
"J","d","Астраханское опытно-эксп.предпр.",ЛОЖЬ
"J","e","АО ""Ростовхлебопродукт""",ЛОЖЬ
"E","U","Самосвал",ЛОЖЬ
"E","V","Автокран",ЛОЖЬ
"E","W","Седельный тягач",ЛОЖЬ
"E","X","Контейнеровоз",ЛОЖЬ
"E","Y","Фургон",ЛОЖЬ
"J","f","УПО УВД РО",ЛОЖЬ
"G","7","вишневый",ЛОЖЬ
"J","g","Славгородский з-д радиоаппаратуры",ЛОЖЬ
"B","L","Транспортная машина",ИСТИНА
"B","]","Топливозаправщик",ИСТИНА
"C","@","Уральский автозавод,СССР",ЛОЖЬ
"C","A","ИФА-Робур,ГДР",ЛОЖЬ
"E","Z","Топливозаправщик",ЛОЖЬ
"A","*","Цистерна",ЛОЖЬ
"J","h","ЦОВБ МВД РФ",ЛОЖЬ
"Q","*","КАВЗ-3976",ЛОЖЬ
"J","i","СТО ""Москвич""",ЛОЖЬ
"P","1","АК-75  ЗИЛ130",ЛОЖЬ
"P","2","Урал-4320",ЛОЖЬ
"J","j","Т.О.""Ростов-система""",ЛОЖЬ
"J","k","Приобретение у частного лица",ЛОЖЬ
"J","m","Т.О.О.""АГРОПРОМСЕРВИС""",ЛОЖЬ
"J","o","Т.О.О.""АВТО""",ЛОЖЬ
"H","b","Дознание",ЛОЖЬ
"H","d","ГИБДД",ЛОЖЬ
"J","p","Магазин СКВО ""Автомобили""",ЛОЖЬ
"J","q","Шахтинская СТОА ГАЗ",ЛОЖЬ
"J","r","ОПБ МВД РФ",ЛОЖЬ
"N","Z","ВАЗ-21059",ЛОЖЬ
"J","s","ТОО ПКФ ""ВИАЛ""",ЛОЖЬ
"J","t","УПП ВОС г. Таганрога",ЛОЖЬ
"S","+","ИМЗ 8.103-10 с коляской",ЛОЖЬ
"E","[","РиРТК",ЛОЖЬ
"G","8","св. серый",ЛОЖЬ
"J","u","А.О.О.Т.""Комбинат Зерноградский""",ЛОЖЬ
"L","(","ТМ-01 ""Дон""",ЛОЖЬ
"E","\","Транспортная машина",ЛОЖЬ
"J","v","в/ч 54183",ЛОЖЬ
"B","[","БРДМ",ИСТИНА
"[","(","ГАЗ 41-08",ЛОЖЬ
"E","]","БРДМ",ЛОЖЬ
"J","w","Сальский ОВД",ЛОЖЬ
"Q","+","Баказ-3219",ЛОЖЬ
"Q",",","УАЗ-3962",ЛОЖЬ
"G","9","бело-салатовый",ЛОЖЬ
"G",":","белая ночь",ЛОЖЬ
"G",";","серо-белый",ЛОЖЬ
"J","y","Зимовниковский ОВД",ЛОЖЬ
"J","z","АОЗТ ""Патруль-Авто"" г.Чехов",ЛОЖЬ
"J","{","Спецприемник УВД РГИ",ЛОЖЬ
"J","|","Егорлыкский ОВД",ЛОЖЬ
"N","[","Рено-19",ЛОЖЬ
"C","B","Рено, Франция",ЛОЖЬ
"O",")","УАЗ-3909",ЛОЖЬ
"H","h","ВМРиГО",ЛОЖЬ
"H","k","взвод по охране объектов",ЛОЖЬ
"J","}","Целинский ОВД",ЛОЖЬ
"J","~","Колхоз ""Заветы Ленина"" Неклинов.р-н",ЛОЖЬ
"G","<","динго",ЛОЖЬ
"N","\","ГАЗ-310200",ЛОЖЬ
"H","p","ОКСиСП СМОБ",ЛОЖЬ
"J","","А.О. "" Белгород-Лада""",ЛОЖЬ
"J","А","А.О. ""Волгаэнергоснабкомплект""",ЛОЖЬ
"J","Б","фонд ""Защита""",ЛОЖЬ
"@","+","грузоподъемность 4,5т",ЛОЖЬ
"H","o","Склад НЗ",ЛОЖЬ
"@",",","грузоподъемность 3,75т",ЛОЖЬ
"@","-","грузоподъемность 6т",ЛОЖЬ
"J","В","Приволжская в/база МВД РФ, Самара",ЛОЖЬ
"J","Г","Ком-т по управлению имущестТаганрог",ЛОЖЬ
"Q","-","РАФ-22038-02",ЛОЖЬ
"J","Д","ТОО ""Саролла""  Н-Новгород.",ЛОЖЬ
"C","C","электромеханический завод""Авангард""",ЛОЖЬ
"C","D","Тирасполь",ЛОЖЬ
"E","^","Прицеп",ЛОЖЬ
"J","Е","М.П.""Автолюбитель""г. Н.-Новгород",ЛОЖЬ
"B","\","Полуприцеп",ИСТИНА
"\","(","п/прицеп-рефрежиратор модель 97725",ЛОЖЬ
"E","_","Полуприцеп",ЛОЖЬ
"J","Ж","Т.О.О. ""Лидер""",ЛОЖЬ
"N","]","Понтиак",ЛОЖЬ
"H","q","СКМ",ЛОЖЬ
"H","r","ЛРРС",ЛОЖЬ
"J","З","Технико-комерчес. центр ""ГАЗ""Ростов",ЛОЖЬ
"J","И","И.Ч.П. ""Алмор"" г.Ростов/Д",ЛОЖЬ
"G","=","серо-голубой",ЛОЖЬ
"C","E","Астраханское опытно-эксп.предприяти",ЛОЖЬ
"J","Й","Торговый отдел при УВД РО",ЛОЖЬ
"J","К","""Универсал ИМПОРТ-ЭКСПОРТ"" Германия",ЛОЖЬ
"N","^","БМВ-734",ЛОЖЬ
"N","`","БМВ-728",ЛОЖЬ
"N","a","БМВ-520",ЛОЖЬ
"J","Л","НПП ""Орбита""",ЛОЖЬ
"N","b","ВАЗ-21099",ЛОЖЬ
"C","F","БМВ, Германия",ЛОЖЬ
"C","G","Воскресенский з-д ""Машиностроитель""",ЛОЖЬ
"]","(","АТЗ-6-433362",ЛОЖЬ
"]",")","Урал-375",ЛОЖЬ
