"C_COEF,C,8","C_GR,C,1","COEF,N,10,2","NAME_COEF,C,35"
"NEE)","B","6,5",
"NIE)","A",2080,
"NIE)","B","13,5",
"NLE)","A",2080,
"NLE)","B","16,5",
"NLE+","A",2900,
"NLE+","B","16,5",
"NNE)","A",2080,
"NNE)","B",10,
"NOE)","A",2080,
"NOE)","B","8,5",
"NOE*","A",2900,
"NOE*","B","8,5",
"NOE+","A",2900,
"NOE+","B","8,5",
"NRE+","A",2900,
"NRE+","B","8,5",
"NTE)","A",2080,
"NTE)","B","13,5",
"NTE*","A",2900,
"NTE*","B","13,5",
"NTE+","A",2900,
"NTE+","B","13,5",
"NVE)","A",2080,
"NVE)","B",0,
"O*E*","A",3770,
"O*E*","B","21,5",
"A2@,","C",16,
"A2F*","C",16,
"A2F)","C",16,
"A2F+","C",16,
"A2@+","C",16,
"A2@-","C",16,
"A2@(","C",16,
"A2@)","C",16,
"A2@*","C",16,
